EAST,NORTH,Cu
415.7918182,143.4224242,0.15
455.2215152,175.0178788,0.288
316.839697,66.80969697,0.242
323.5406061,88.01606061,0.086
463.5630303,144.5557576,0.282
358.3372727,217.2809091,0.234
303.4878788,105.3845455,0.174
379.3845455,132.9536364,0.068
440.6666667,172.999697,0.26
292.9690909,106.9851515,0.108
341.7642424,79.32666667,0.096
345.2042424,76.64242424,0.078
461.3557576,169.8281818,0.272
419.4009091,169.5,0.526
350.5330303,164.8372727,0.164
348.6639394,133.2715152,0.088
408.2060606,133.8881818,0.216
257.7348485,47.02545455,0.332
258.2518182,41.75606061,0.316
351.4375758,183.6672727,0.342
431.1621212,185.1387879,0.248
363.3581818,210.7590909,0.262
452.9151515,142.4481818,0.234
384.4648485,158.9218182,0.174
378.9966667,125.8451515,0.074
313.0121212,104.6387879,0.066
437.1472727,165.8812121,0.34
291.0306061,130.060303,0.276
283.9318182,108.2278788,0.292
313.9266667,74.66393939,0.12
437.2963636,142.1,0.23
328.0045455,80.25121212,0.062
386.2445455,128.2012121,0.09
400.9384848,131.780303,0.268
386.6221212,135.1209091,0.322
450.1512121,195.8263636,0.414
361.359697,223.6539394,0.19
336.1172727,183.0112121,0.278
395.500303,167.2930303,0.194
319.8521212,48.77515152,0.036
432.9518182,171.8363636,0.24
393.9493939,137.1190909,0.146
418.8639394,132.0487879,0.148
366.6290909,117.6627273,0.064
366.6687879,110.7233333,0.154
346.3572727,237.2245455,0.354
458.6715152,143.4721212,0.266
405.4721212,147.6675758,0.338
246.0033333,38.11727273,0.236
345.5918182,215.710303,0.28
241.0324242,30.25333333,0.25
281.2178788,119.2633333,0.172
433.3790909,136.2242424,0.148
448.600303,140.5690909,0.212
387.2087879,167.4818182,0.56
349.9266667,197.2975758,0.226
392.14,193.6190909,0.384
344.2993939,126.3321212,0.1
408.0072727,154.2193939,0.24
319.1463636,81.57363636,0.086
342.6390909,72.23818182,0.15
255.3487879,53.5669697,0.208
262.5469697,44.53,0.246
400.4415152,127.0578788,0.42
102.2630303,99.20060606,0.686
143.2536364,198.1727273,0.168
372.3754545,130.4978788,0.124
288.1969697,116.7481818,0.154
390.6287879,161.9839394,0.55
310.4966667,36.36757576,0.094
398.5624242,145.1921212,0.512
378.5293939,211.4848485,0.586
351.2984848,123.28,0.1
370.1184848,158.1066667,0.25
408.2857576,141.0163636,0.224
403.3645455,168.1875758,0.262
346.0293939,151.2466667,0.16
422.8406061,137.6063636,0.224
306.9078788,55.07818182,0.17
447.0990909,187.3954545,0.258
313.2606061,123.4490909,0.064
411.8348485,190.4575758,0.382
317.1878788,114.74,0.03
326.4139394,157.2815152,0.248
245.6057576,33.27575758,0.348
354.0921212,223.7233333,0.198
339.7460606,136.0254545,0.09
355.9812121,210.6,0.194
366.6887879,184.5918182,0.24
318.6790909,96.97363636,0.098
339.9151515,189.3639394,0.574
312.0078788,61.30181818,0.374
434.6618182,192.3266667,0.288
249.8212121,36.10909091,0.3
261.5824242,57.78242424,0.248
335.600303,194.7624242,0.178
380.4581818,165.4836364,0.132
439.5830303,138.0239394,0.172
435.4272727,179.3524242,0.22
396.9121212,187.3757576,0.388
454.3766667,187.9821212,0.376
457.1106061,161.7254545,0.308
355.7624242,115.3760606,0.082
377.7142424,158.5242424,0.192
306.7287879,97.66969697,0.096
329.5654545,181.9472727,0.436
309.5224242,81.75242424,0.148
358.7848485,183.9754545,0.318
452.3284848,153.0360606,0.384
340.2630303,67.68454545,0.144
363.4972727,106.6869697,0.16
332.259697,188.5884848,0.286
321.0751515,167.9390909,0.32
361.7175758,111.6875758,0.098
451.7618182,146.9121212,0.282
333.8406061,247.3254545,0.432
307.4345455,132.2475758,0.29
339.2390909,201.0060606,0.378
458.1842424,182.5936364,0.212
442.2872727,159.7769697,0.252
312.8530303,89.78545455,0.052
345.3133333,170.3351515,0.096
423.8548485,133.619697,0.138
294.0130303,123.1409091,0.118
300.9624242,140.7778788,0.174
419.3609091,190.129697,0.324
327.4278788,51.52909091,0.134
415.6727273,135.6278788,0.218
361.0912121,103.1772727,0.094
254.0663636,38.96242424,0.26
354.430303,148.2542424,0.198
360.4551515,121.2418182,0.118
336.6539394,72.21818182,0.094
430.2872727,147.3890909,0.23
426.2706061,191.0045455,0.518
331.9615152,88.23454545,0.098
404.3387879,188.310303,0.32
345.4327273,222.9778788,0.246
449.6839394,160.8606061,0.474
425.8530303,170.1960606,0.234
459.7154545,155.6212121,0.25
285.6618182,125.2781818,0.23
343.9115152,183.4784848,0.288
343.0366667,195.7466667,0.368
459.0193939,148.3833333,0.174
422.6618182,145.1324242,0.204
300.2863636,128.8475758,0.116
413.9527273,157.6193939,0.21
342.7781818,229.7084848,0.67
428.169697,177.9209091,0.204
